                                          ,pkgs_before,pkgs_after
ief2f717fd9a0d90f7af8c59658f0455f7cea5983b,16.0       ,13.0
ief6317bee18c1a9504529b02dd48ac1ba3c0a40cb,22.0       ,19.0
ie7dc6ac230b8dc48a589549e43c459b316355b3a2,14.0       ,12.0
iebdbb50bc3d1f6c89099ba2ec712066f32d767f05,13.0       ,7.0
iee9d6c7577ff9e9dd79a9b7f02bd027f6a6f6b431,14.0       ,11.0
ie9de41adec9427100a455b276fb2833f59beb1c41,16.0       ,15.0
iec2f21cc13db4b8f890a874e006fb77654f9d8582,14.0       ,8.0
iea5613c2e90a257f8b02bbe952110e8d629693f38,13.0       ,9.0
ie6afda02c89636d6a5336218c34349079db563b1e,17.0       ,16.0
ie777d7e7c1e0081b259d37ea5032022c04b9e2c94,15.0       ,10.0
ied2c18548b754d0a93a09e4ff0963540fa79394e4,16.0       ,9.0
ie45bbd194daece76d7e0633e8e2cedd5012f061c8,12.0       ,7.0
iec7554074df1aeb2559fda94c29a38ff6b4002269,8.0        ,5.0
ie578c3b7ed91edb08dbb66e1c1b618c96034657cc,14.0       ,8.0
ie3aa12243012252decef81cd20b33ed7e5533bb90,11.0       ,10.0
ie9d73675fb849eaae05ca11c34d239cd6587b0c5f,19.0       ,12.0
ieb33bd6b6d372ab148f5b6e6c98ce1ab662eda4ad,12.0       ,7.0
iea61ea7f286897ec333d0608d255c102d3c19579c,16.0       ,11.0
iea03c904b187dced0498c28de4b0a5412705e751a,10.0       ,4.0
ie834338f8a74de7c297700e66f9b5b81bcec6a6ee,13.0       ,13.0
ie1b56df72d7d563fa4977e1740849f565c26e0773,11.0       ,6.0
ied83489902cc090128e3c10d690d1dad85b501a38,12.0       ,7.0
ieda46a78ccd0f71d7fa7b42a987412ed158309ce6,21.0       ,18.0
ie3446d1cacd53cdba328094276954bc5cb5f26dc1,12.0       ,7.0
iebd6f500712b0ad2bdc19483cf3ca47dc76589d63,22.0       ,17.0
ieadd5b8f70073854f14ec2b615ec49673dad40ea5,10.0       ,7.0
ie365852ad903634703af981724bcf29122dcceff4,19.0       ,13.0
iec0b009f523f6c4aa222dc291acb9a2071f7a74d1,14.0       ,9.0
iecb23f5def3347cd920d0857e3135c3ad028631c2,11.0       ,8.0
ie7bc90c584651aeef00a60af0dc776aa94f8fc4a3,13.0       ,11.0
ie6ba8904ede0f908ec66b0bbb7251f3f4aa031fb5,13.0       ,8.0
ie8e48bf06fe21779856042447ad4a1ed170dac1fc,9.0        ,4.0
ie4bd6b2a44886a9e268081d9a547c43f65214ac73,7.0        ,5.0
ieb7ea8e4ada5a72cbbe395b6f4a114e752733af18,18.0       ,9.0
ie4c95cab75d6726954d7ece650f1ed7b79fbab166,16.0       ,13.0
ieb04f98c507062401d619560444770ef847848e52,13.0       ,9.0
ie4e951cc25437f9117e97c37c06e83a1131f79d77,22.0       ,20.0
ie9974e790e2bf34707f6b3a928576074aa9382784,20.0       ,15.0
ie560eb6dce86dc5f0dd6007f35161c93d94c8295f,15.0       ,11.0
ie394a62bbbee1666e76ec4006f9aa2b5594ad002e,13.0       ,10.0
iecdd68a338b3dde9a51d6f5c004c2bd6bda70636f,12.0       ,9.0
ie6b60863f3a0bfa971fbf5e1ee138bce230233165,17.0       ,12.0
ie28d50a70be4914a18046d5c064d5cc9204054e83,17.0       ,15.0
ie4bb14dc85efff55aec3796d879cf0d17383c1c4a,9.0        ,7.0
ie78720c7be6404f64bba164428c10b5827c4e3646,15.0       ,12.0
iefc74d80d46152469ad1d2fd56cef74f4cc50dce8,11.0       ,8.0
ie9d71e69978ae064b6ba2c435e7fd6f80033cf1a5,13.0       ,7.0
ied99c5387d1a5f3101b5c195fa0c354a04c5c98db,14.0       ,10.0
iecc3f5e5f93dd967945b70fb107975ac11ed9818a,18.0       ,14.0
ie798c9c0b993b9f9a3be5b48eea29e940ff7a0954,13.0       ,9.0
ie3a3b820ee37640b1f476526b26fb267686838daa,18.0       ,13.0
ie068b21beba425193c8d4871166541d2c3f2d7141,15.0       ,13.0
ief9232c87f39eb5c297f773ffa9830f6956ba7862,11.0       ,10.0
ie2fab45cbc5f2c9a3fd10fa2ad5d3e3782bb02856,10.0       ,4.0
ie1b9806164259b8dffd14bf049701e7c759d0366f,6.0        ,4.0
ief7a20defcb42a2ff94af44889619e52d583188f6,11.0       ,10.0
ie6188844b768cdff9e2726a4c273b86244722e0ca,10.0       ,8.0
ie78c7e6033d936d4efe5d5bc8dc0ca00aee385f02,14.0       ,8.0
ie5041e0aaa0ea34034e6a98c6b0980ec7b44e337e,12.0       ,10.0
ie79bea15df74980f4f7fafd3bca64930ca47c90db,12.0       ,8.0
ie14224a38c0f6463af752ae83dd3e71862a755ae2,13.0       ,7.0
ie265448a4f616843cac302d08aa807aabfde24f6d,13.0       ,10.0
ie142771a2985ad581f443ecfe957ce9e55ce467b5,8.0        ,7.0
ie04944daec95c51d0933f99a3c57d4156d505cf88,14.0       ,8.0
ied2fbe9e58a8b9296849159dfdbd15d42b2ea0968,17.0       ,9.0
ie892a7c7fd7eb10498c7249378cf6659f0c4febe7,16.0       ,11.0
iefe1cdf77360a9188730022a6202b29fe1e7a607c,15.0       ,13.0
ie13b878cffe939e9dcc2bdc18a034d969316325d2,9.0        ,7.0
ie7ac6331715723db0da073dcc383fc3232315fe8e,14.0       ,9.0
ie7a0ca80b71625050ca4c7d6626969c49d3f82f5f,5.0        ,4.0
iea03684e25d636f58b1c5fba98edc02b64e888be0,14.0       ,10.0
ie54c8fdbf4226559247902b12a04e99e7978975dc,14.0       ,11.0
iefd22b8508bccdf8153d68e8efdf00018d169f444,16.0       ,14.0
ie235a21ca0ef405ea3bb6e5095671103d7ad638a1,19.0       ,14.0
ie9eb3b6ffeaa71a48c0acbf3fee26500451702eed,18.0       ,12.0
ieba7117dae880500d393a0905bb61b404fc983c42,23.0       ,20.0
iea529f9c3de048c68a6c1aded27744452b0e45d0e,13.0       ,9.0
iea06976a50c8132e985f569e2f8a1730f7ec8fc2e,10.0       ,9.0
ie641154fe60f7703f2b51c86bb8b1249adbc47065,16.0       ,12.0
ie7067b5980d04895b39f4643fc8107d8b3123f3e8,16.0       ,15.0
ieeda1e489286f9344027a95494284bb1b6bc4af09,10.0       ,7.0
ieadf447420531cfa055b36c7adb6d7ab70f0b818b,11.0       ,10.0
ie8f6cb67472d4dac3f383d9b9f47d282482a70294,19.0       ,15.0
ie6f5f9ebf4ffc168d6a7a2b81d7a929414433eb36,17.0       ,10.0
ied441986b22a54f7812440d9a60ecf529c2208952,12.0       ,7.0
ied0ea87d47f9ae432e0be25be65bbc427e6c5e83c,10.0       ,6.0
ie6f55cdec910a475202d30f26d39bd9376fbaf515,18.0       ,14.0
ie5e64d35cc42f47a8a20f55bb8f158eabfd6d4f3e,9.0        ,7.0
ie6205e6009a887a705b4ecc5cd2beb77d0beaf7dd,19.0       ,12.0
iee2efa4a29327618a75f2373943da4031c7d64861,11.0       ,8.0
ie0ba2926146fd1bc29293345f320340be6c55ce2f,8.0        ,3.0
iecab50b7af886f388733250b53b3a6683906a5e31,11.0       ,7.0
ieb54462b69232380c88840afb76045cb23ba261a1,13.0       ,11.0
iee3f42ed92a80b79e15995e5b7e505d124b446562,12.0       ,9.0
ie015e7776c1a0d5e679d5002e40d8be544122b7b9,16.0       ,11.0
ief989b5e84583be6829482abd3f635354cb32b8fd,15.0       ,13.0
ie6d86ee587db5af7d1ce76d518bd7d8cc827fd408,14.0       ,13.0
ied8373f2939b750634dc845111c388fc1823967b1,12.0       ,12.0
ie397b4ba1193471592026844d3cd312ccb10680fd,15.0       ,10.0
ie6ab333d359b312738b20639779b8e1f508639bce,15.0       ,13.0
ie66d4afa25a860e5f96daf0d21884e315f95640d5,17.0       ,13.0
ie0a15c77ee6821a0d2ee3f8f9e4b0c288d5000cc7,12.0       ,10.0
ie8f13802028584de3f38c8bd58888541d267ddd84,19.0       ,12.0
ie24c08bb64e43582aba9fd790d1898640046cdfc2,18.0       ,16.0
ie58de1d48cd32b53f7765b366f8a5c8c195f39ea6,25.0       ,17.0
iec3d843aa3d4b17dd52d07a78d80aea2a46906860,20.0       ,17.0
ief7451638035a856927b4b943093ecc40b13307a9,15.0       ,9.0
iea76659ec3a9bed59d95b417e4d03687e51bf5427,8.0        ,4.0
ieb797aeaf7bff6a762ed5796971ea74b09b9d5a92,14.0       ,10.0
iea703982fc6c90a8887a012b16193d2f38f3051ff,13.0       ,5.0
iec43c3e3056f63e0bd5e344bed699abfd9b766f25,15.0       ,8.0
ie41e4382e4b19929b0f5bb80f8f107bcc3fe8a474,14.0       ,9.0
ie699cb42246a4a7c0b30b76c8490c99617e92dd0d,21.0       ,15.0
ie285428ee44e1ce9ca8d91059760a847f960a83bf,13.0       ,8.0
ie57f5bc09ca0aaded05d36ed6d5fb43c223553c4a,15.0       ,11.0
ie77b37191fd7c2e5e8a3689dbfef962ef219e44e8,7.0        ,4.0
ie4c674a2da3b4394524df28fcd47cd4d7589e25f8,16.0       ,13.0
ief3aeec4ad34a82379370b6825aa6fded121e35ed,13.0       ,10.0
ie927c6c73e104b2c850563000352623e62943dbf8,13.0       ,12.0
iec89643cff4031ad39c196fa24b97a002e28c7ee3,14.0       ,11.0
ie417f3ae01417283bb3403a95d7db97cb89e30fb9,7.0        ,4.0
ie07e3466bee246b13f588cf6e23fc0b8445c33093,17.0       ,11.0
ie5c4a0478f44cbc93ec090ead3eff55e1c1ae226e,23.0       ,18.0
ie1aef2034ec264af631ac0b95c8b797c150d9de01,15.0       ,13.0
ie53f913b20039e538c6c54bdd3b1b626cda29dad0,15.0       ,10.0
ie95b061cec967f6d8d98b5279faa3dce3de0fce25,16.0       ,10.0
ie615fbf5846d1551a43795d67e35f37907eee9a39,12.0       ,9.0
ie1e16995b388d9a33e7aafaa2c4b4cb4a58233913,20.0       ,13.0
ie629fc1d4bffda7780feb545e877c180f3d6bf61a,13.0       ,13.0
iebd64679560f9424fecacbf7857696399de9a8c8f,15.0       ,13.0
ie910b045e82c8e4c6c8f2aeb37a7524112c95b246,15.0       ,12.0
ie1d780e2a5c3fabcb21260bddda96936edef5a3d3,14.0       ,9.0
ie851aa5ebb5c8a1c296a98d200a9864d454242f4f,15.0       ,12.0
ied621dda420740837c926fe81b17c36ac97fca38f,8.0        ,4.0
iecb68c9141b7451573ec6a28b5d5a1022d6c7095b,11.0       ,9.0
iec277324c2c07b7259bf6bda6709531967c89b985,12.0       ,11.0
iec2ea1c7cf3af1fab402a660305cede98fc27e7d2,24.0       ,18.0
ie6e7ff522b3ecddc4cce1e0e9d1799a5df5dd212a,17.0       ,12.0
ie8235ce183bed00e0b2d2e272a9d99a52cc23210f,12.0       ,7.0
ie2cd976ab93d70fff389f6a7707ce6059eb90aaee,21.0       ,17.0
ie4a87b522e2c538033fdea036f911ffff5b68aa6e,12.0       ,11.0
ie774dce80e827c8638e5594e8a3bf3dcd84c13011,12.0       ,10.0
ie3ab1eb44c003c7cbde89684543612afb029c933b,15.0       ,14.0
ie72b53538f7d02be1e2bbd873dd8a6af5f5071313,12.0       ,10.0
ie1d79a89830f0a6efc1a60537bf84a78f40c7757b,7.0        ,5.0
ie7b76ffd6cf6bb89c28672646f26c8506cf849a60,13.0       ,9.0
ie1dfaeb387d6094e7b59f520a26947bdc86bb669b,9.0        ,8.0
ie3b8f6267e966611ed54bc4d7ec10a73690c185cf,19.0       ,14.0
ie8791897206cca473f752dd9310da1993e3d17b07,12.0       ,9.0
ie6cb57776fa6c3436b93f76920f6f34322d71a033,19.0       ,14.0
ieb4d8c285e14f076dbd4cb432fa7ee3dc19793b31,13.0       ,11.0
ie4b40f68df695f237aa1a0f5ec24aa924c49733b7,17.0       ,13.0
iee6e8b26b3c25413f519e7891d221c013af7df1a0,15.0       ,8.0
ief7c55580e519b7762a08c995da2f32292b3abc8f,17.0       ,15.0
ie1ac9efadf6c91ca816ac86fe97ba16ee647ef943,14.0       ,8.0
ie823b2e13d90ec3e3ce54fbc95210ea3e406f8685,7.0        ,4.0
ie6c64067e4b4d127a7258221161b1a2fdb76194f2,17.0       ,10.0
ie7bdb1ce4fef45132af1ec7be94e65badc4557d7e,10.0       ,10.0
iee1d6b656eeca014d5c7688b533e1b8d2a05d73cc,17.0       ,13.0
ie799418ec1e30dc749c3c5ce9ca37207179cd1d80,3.0        ,0.0
iedfe2cd526bcd5b968e7bf914aaac7325b4148d6c,13.0       ,8.0
ie22e43d6407c0e1c4a17a530f420aca6e920f5d8b,13.0       ,11.0
ie92350ded0f7c563d18443a584575845245b7d81d,15.0       ,11.0
ie103dc37ff1af1b0cd17394f7f1f53b51351414a2,15.0       ,9.0
ie9aa3542b4a0b629e0e5fa4fa07a3a11c75987d47,13.0       ,6.0
iefa1a7914d2e18dba3a2b4945d042746c233cd274,13.0       ,10.0
ie3bf4665922aa928dab478f0499ff47a97d3e7e25,11.0       ,9.0
ie3866cff276fb0c954b32461c2dbecf9c49f3b033,12.0       ,9.0
ie7d2c61cdb66469167786bfe6218572080e122cd4,12.0       ,9.0
ieb42cb7a11a28d0165f1b35db18bba61ffd956f1f,14.0       ,8.0
ie2f8e2ebee7cbeafb91d07e6c28d71856ef14c7c7,21.0       ,19.0
iea9030dce7219f453e9d453eb45e7551fffb748c7,14.0       ,11.0
ie820e23c26510e6b56cc5347c3acfb8d8bc4fc677,11.0       ,10.0
ie079ea466dcbc0f2530c16668552d71cb7ac04428,19.0       ,17.0
ie0646ef0aac025d8a5da0d61bc04fc4fac42b40a6,14.0       ,8.0
iecbe7fb32a89db11ac587bc8faef9f72869d5cf20,10.0       ,7.0
ieac0539fd56a739d07b7267597d6e6b1816e68f4d,17.0       ,12.0
ied0295d74143f491bbcbc4b5b0adcfd3dea85596e,13.0       ,11.0
ie37741f614e3876d93a0f53fac63dc82050df3d63,23.0       ,16.0
ie2be464741c3694cc253e4f90a6c4ea46a75e42cc,21.0       ,18.0
ie8ec686e5894a00cfd9a181a5d6a64ae43501313c,16.0       ,14.0
iefd54629bb74108c84c6c9c112b6d966ec6647eb1,10.0       ,4.0
ie6ceacfa7b2dd807cd6fc2a52f14edf3127dc6319,21.0       ,18.0
iea592b91516e488dcc633e0663318433a578158db,12.0       ,9.0
ie5a8739f330d9346b28ad813d5e3daf9082ab47da,15.0       ,11.0
ie159e62b3529765f77e6ced16d772f63fcbd89cbc,17.0       ,13.0
ie73d260de7fe73fa7bf27fa3abaf5f04b681db6b3,18.0       ,17.0
ie93524e34fc56e0ecf1fc0bce37ce59992710513f,22.0       ,17.0
ie51f6ce7dff1559ce87491b3d842a58a09fa64a0b,15.0       ,13.0
ied08615618901c7f3be78ae6b2cc87d54d405032c,14.0       ,9.0
ie0edfe7b9b18301ed09bf5c3616bc4425a9958fd4,10.0       ,8.0
iea48bf6a71f8127ff5f66b4a99786731fabb71136,14.0       ,11.0
ie0f363e939ac3c2dbb9df7edc5544ae411a28a07a,10.0       ,4.0
ie6ebbb7332af9566b7ed903899ff6cbead9f583b7,18.0       ,17.0
iefa83c23ab778970d9fc1785bccc2330669fc757e,21.0       ,16.0
ie851b271a557f98305279ad300d5f212ea2f8c9d8,19.0       ,13.0
ie5b500495a36bc2027d6d4d6497a19c889e00e260,13.0       ,12.0
iebb7f5ec040d5bdbad144a76ac7970644b8194fcb,16.0       ,12.0
ie8867d3d6fb5a420a5ea60ed94ff618a2d1db9db2,16.0       ,12.0
ie9db50107d2351fd94b3ca29c03cf1a4670e745df,18.0       ,16.0
ie69f9d69ef11500a6feaba1d8316248b369c29ba6,17.0       ,12.0
ied4195c56320f5861429e0e8c01315f3823aaf49e,14.0       ,10.0
iedcb81bc6f919f1f4b4b48a268ecd9873360b095e,21.0       ,18.0
ief8dce182fc2e2ce179aad0bcea4338c9e9544dc5,16.0       ,12.0
iea07b00dffd194466f4fe4a00064106da289acc30,13.0       ,10.0
iec2279c17461394af119cb4efe8bbe7554b377b62,10.0       ,7.0
ie9cecb68ec36be915c3e9442a94bbee7b55bc9b45,12.0       ,8.0
ie8134dae09ee7df8e4bf86f54aaa6b8290dcf495e,11.0       ,9.0
ie3d531c1bf516153fee6dd9041b1beb5c4758e6ca,18.0       ,13.0
iea799b9e725285af314b1a7ab9827328c16eddeda,12.0       ,9.0
ie96cb223941e12bde792716c68426f085930af034,15.0       ,15.0
ieb1f0645f8f417fa742f39187200d803ba688d2f9,15.0       ,13.0
ie05f08adf4f5fa77c4ff47076fa6dd1a42f1838a8,13.0       ,7.0
iead1f9ae33a7ec3075491948fa9559e4c498b13d0,15.0       ,13.0
ie0026b5c6a55d261683b9d8bc192970d6c0b5a4f7,13.0       ,9.0
ied94192609626633d072d5e44c3face41eaf42b1a,17.0       ,13.0
iea2e79b558d41f2f9bf9f81ae1c6675044bbbb265,10.0       ,7.0
iea6a354dc4eed9f28de3fc2db81a4ec2650170e42,13.0       ,9.0
ie2d8e7014cc39008b1db3a0b95ca7a899d57c9992,16.0       ,14.0
ie423f0d88fb8788965a4a59ada5c21ddc72a9b106,18.0       ,11.0
ie7aceaaf700095d96643e05575c998807affb0002,15.0       ,15.0
ie9b42a362bc180a2d086f6851fa345607fe6f5126,16.0       ,14.0
ief996ba26c9728cb38f20d1b85fadb509c5578464,18.0       ,12.0
iec0dfb0ba8a07cb1fd05760d936e7ab2ba84c5726,20.0       ,13.0
ie06a230b91205c2863afd6fee1e5fa0eb7e7c1235,15.0       ,11.0
ie2be190bfabde15d7e9809aee2cb60d400df9c5d8,15.0       ,14.0
ieeca8e2a88ec3f9ee6f8449af6a05d0bdfc1eef62,8.0        ,6.0
ie1041eaf4fbc122b6571a94b2df08b4fcfc7f54a9,11.0       ,8.0
ieaf02a7c53e157ae6cc36a81aa224eb47cca9c828,6.0        ,4.0
ief31e4300ec2e25f0cb4faa4d864741658263f507,14.0       ,9.0
iebdd84e532a00e10ff80d437368a5759995556488,17.0       ,14.0
ie2c62853626d0d42598f2bf6b2750d76199f0bb3a,8.0        ,7.0
ie0a808cfe2d78a0a56783f6b8e55840c43dab4911,22.0       ,14.0
iecba48a9494c1ccb5deb7bc6be8ccffe5334a50ff,13.0       ,9.0
ieac006647ac887d97e3173501f9925b91e05217a5,17.0       ,13.0
iecb9b31242d42294d7c00f76bcf9653efcbd401be,11.0       ,8.0
ie5300d5cc21e38dbbcc0a1967ce8b3ac13955cd4a,12.0       ,7.0
ief7c7cbbac5ea2af5045aba31ffb97436f016f953,15.0       ,14.0
ieab08b7d18ab500c6bd676c7b8d983a3b58b7ceac,23.0       ,15.0
ieacabb0320efa5a7729c7a2f335169160d2fbbdca,15.0       ,11.0
iefcd672a1bce1b257bde110f206a17ed0c74312e0,15.0       ,11.0
ie0a36f7460981009b76529a2e7bc94319e1d0b372,17.0       ,13.0
ie0e94ff20336ebf4e79f6cd7d00dae01c9a75a733,15.0       ,13.0
ie8f860bf097b4e8c1d2c02e8ad3f97658bc112695,20.0       ,17.0
iec05ee5da865a6b12663dc7dd27c3974b4b3d49f8,12.0       ,8.0
ie6b386d87301d08b23a1e4be240f227eebac25ae3,13.0       ,13.0
iea58b7bc7088a58e4b6f6d5c0e5f948f66ed7b759,20.0       ,18.0
ie38a02ce5ffdf829cac8458478f8403af3e0a7a9a,15.0       ,14.0
ie5eb0ff9b8f3dca2c8f081998ca5e01408bfb05c2,15.0       ,12.0
ief63d3ead955dc525083015df8af3b556164d05e1,9.0        ,5.0
ie4ec1828952648127c482cd5865dfd13b21f4cdb6,3.0        ,0.0
ie29ca3dddd3cacc2ec4f4ec2ae54c7f42e78ebac8,12.0       ,10.0
iea7e5b71c718c46fbade7bddcb29549c975f8a088,18.0       ,16.0
ie47216b10bc969ee50ab20939a8ced068ba3fd821,11.0       ,6.0
iec33fdb9eef7f5a1047c20b99e5c4f15533cc460a,5.0        ,3.0
ie115816ae32c4a5f54999543146d89008d44ec6be,17.0       ,11.0
ie5fa97884db9ef363e2e989c150f11f96ae146f20,14.0       ,8.0
ie0422b2e404c78706591e74b9d19c03de2aa1a1fe,16.0       ,11.0
ie3fe15ae2d952dd24273653a4cfd64b9e64359f6e,13.0       ,11.0
ie8eb37c0f6b793e63f4d587c6ca85fe0052b4633e,11.0       ,6.0
ie61fcd5a9b3fffd1827ea7a8538337b166705424f,9.0        ,8.0
ie6a18627edb2fa17a38665683630b3218710f2524,21.0       ,17.0
ied0dca781b50360e892a0ff72b3bbaf5fa0cf2b5d,12.0       ,7.0
iebf5edc9811fe5b4330d71eb76c5d9cca54d6ae38,13.0       ,10.0
ie9b13d89115932132e1261b94d3fd477435d71f7a,11.0       ,4.0
ie6870dd66306825620af676767db3e6f741091052,14.0       ,12.0
ie7a19331638cf311b9d0b100b26976efd33c96e59,15.0       ,10.0
ief85c63a5f6d396d99cc5bfe2215c592209ee3ab9,19.0       ,12.0
ieacf227506dca1084cb554d55d625674d85498ac9,13.0       ,10.0
ie7588b785adc04b80524ae2d6b6f2cc403c0e1b67,13.0       ,9.0
ie785fcd143c21cecc156c5a2f1d69262aebe68d02,16.0       ,14.0
ie82624c3af747cd0be1352770cb75a71dffe44a21,16.0       ,13.0
ie567fb53c607974638e72835ed0051a1f06bcb024,14.0       ,14.0
iedaff64477d3585c97fa7334277d75a5fd3eee787,17.0       ,13.0
ie6d0bea219e8d1e0135c1666f67b8b86401f5f16b,13.0       ,10.0
iebd6e4fe65bf0b68ebb05b7dccf256f566b8a5856,12.0       ,9.0
ie9291cc7c94e98c02e83b147d9ae7eba7dbdd1c05,14.0       ,12.0
ie6de0694c06b7038031328075021b6e62cf499b1b,8.0        ,4.0
iea9fdc7d0252bfc7b50d45eda872e0f310a404c01,13.0       ,9.0
ieb8240006ca117bd006a3db3dd004b12e06baac63,15.0       ,14.0
iec367b565059bd1889ae25735895d66bff9bbe016,16.0       ,10.0
ie9cea6be6cc7b97b713a38b29a55d082730317c53,12.0       ,9.0
ie5736da87569330f1c119110da88b9a70e34ef13b,18.0       ,13.0
ieb373e1f794113ac5a73229241f7d29e8c980ea42,21.0       ,12.0
ie0ae55cbec432200cf990b67892057cff0de4495d,10.0       ,4.0
ie90da2485b19266669bb5b817aa0bf1cbe5f71c3c,14.0       ,8.0
ief2f20b164167715b79c92b4914dceac994bc33fd,25.0       ,20.0
ief856ca0b867f9904a5b936077eaba175d28ef3a9,16.0       ,12.0
ieda08c90d4b617dde3a79eea3ebfce3e265df6f64,16.0       ,11.0
ie6fbb96fbd1ed3609a0d90df84af7ff3ca3657269,13.0       ,8.0
ie99e72479e4652a59687070f68bd4974aab2b0509,12.0       ,9.0
ie4d165375c19803bdd5212a35c59935d3743a0074,16.0       ,16.0
ie75b6732d4895ebd3b1c7d7d931ac33f58553cc49,19.0       ,16.0
ie4c747a411b18021e2bf15f6b59a43eb9f9014e45,12.0       ,9.0
ie09abae6d5c9163451e7c8e048c5f04f988fbcdde,20.0       ,14.0
ied59c0e3c40649a3364e720ee9912bbbdb185bcd7,10.0       ,7.0
ie0049e66a6b11ab4f1b0b503f961bd70c6f9c421f,9.0        ,8.0
iecc6b09ebb4271201edb8d95b615b21917ebcd4be,14.0       ,11.0
iece6633364674e03b69e1787922d7b9482e6603ef,14.0       ,13.0
ieb0f5795c1dab09641aa499eb4fce503528294211,9.0        ,6.0
ieea22a2cf02ec947fd902fc15b12c72bacea0fa8c,15.0       ,14.0
ie84ffc6e1bf3498d9523f392676e87f5cc73b80f4,14.0       ,9.0
ie140c84837f9e22df8228df5e04490840274f84e4,12.0       ,10.0
iea331f5be69ac8085dee0b58f24783b3ba3dc5319,15.0       ,9.0
ied650807882fbbd47d9c5cf623cf364a44118c5ad,18.0       ,16.0
iea8546cf56428963997f1088e744390b52d6211fd,12.0       ,10.0
ieb7719f0138e14fdf12532a1a433bf66c04124d44,18.0       ,14.0
ie1779214b8a8b313333ace50ab89396f4e747cbf5,15.0       ,11.0
ie1c1f83b25f7f4c0b78c0e04c513bdbe40c1d86dd,22.0       ,14.0
iefbab90527fe674fe5809ec08aa087fc47e4f9e06,16.0       ,12.0
ie371ea1729fea850784795a17c1f6dd97f08b93f4,15.0       ,12.0
ie7ddaaa3971e4058cd9085c9bd9de4a7b54c5ab82,20.0       ,18.0
iea36490b9cf23d4d537003b78cf62739f15a85e7e,12.0       ,11.0
iea33deadd3bdc44fb20e42d93d7512fcdd23a56f5,16.0       ,7.0
ie68bb21247c07f160def4aba22cbf71373e465555,17.0       ,16.0
ie8ce18f22d18731d6b352560ba9a3de907e06dc0f,10.0       ,6.0
ie855edde6e199e2f0a2fd5dcfb7c3fc2846527baf,19.0       ,18.0
ieb6eaa172f01fc06dd45d8e17b8cf20008a296a5f,15.0       ,10.0
ieac2935352073ac0f6b1379a5e0d52a95e61f4607,14.0       ,13.0
ie921eb4776e7755d9747253554d355624d55059de,12.0       ,10.0
ie317d1a25c59e6361f433f786d7a70179b8541d96,26.0       ,21.0
ie2818b9d84ec05313cd0a57aa2ae220e8285034cd,19.0       ,15.0
ie1be4d329d6026f766ad257357b750d33f13950bf,7.0        ,5.0
ie547395ae8ea217667253638be3220f90c0a94a12,13.0       ,11.0
iea573c50cf1574709197ce8dfd4d5d6743170fc1a,16.0       ,12.0
ied7b161d2b78373f76637c715c922e52a9a57c7bd,21.0       ,17.0
ie14db130a1e398654d5afc0e6a0c532eb5774f5f2,16.0       ,14.0
ie581ae76331b6e2c7ac0263e51a792a5f25db7b0f,12.0       ,11.0
ie855c1e4fb886c284e84583ad35149eec48e18495,14.0       ,10.0
iea1085770f6a512aa7d02f9aaff6261b4a167983f,10.0       ,6.0
ie907c05bd6bf6033f84fbd3d07a85baa6aa87b060,9.0        ,8.0
ie6c58f1b446cec62bad83458e043cf5d1b1365467,16.0       ,13.0
ied729f2592119be4d9f7e6b73d3c07ee84a346e9e,11.0       ,10.0
ie1253fa4d85c96e3485a19625f328c04eed66cd62,13.0       ,13.0
iedba246a99da70cee3d1e0a8871c20ca3a1ffd732,21.0       ,19.0
ieb7c9672aaba566dfc8fc76f44c7a989e538d019f,19.0       ,14.0
ie961a5267bef949437b03b2b02ac53ff485392093,20.0       ,17.0
ie4f6c99d11c4e38df65a72a70d9317740ffcee67a,22.0       ,20.0
ie2558e517bfb9df22e32704334032795bcbd1c0ff,16.0       ,15.0
iec0cbea86686237d12d987378b506f725b0f8d015,15.0       ,11.0
ie4bcf441f52b91fdf1e5a310fc7bedbe915585716,12.0       ,10.0
ie8ab30a4c57c90c8683ce13ea147589b252d0197f,13.0       ,9.0
ie8391df676483590ae505e645e9d9d4d5e01bb8f9,11.0       ,10.0
ieaf4e3d97be6e0560267faf1fbd511d686dc4ea58,12.0       ,8.0
ie9e1b0133874fb9fc63024d07af601b225192d8fa,11.0       ,6.0
ie4284c0effc65a38d393f2f2bdd235b5a11ebf981,11.0       ,7.0
ie247ae24bc8b135e15bf231bcb4fb6e3e65b6fc60,15.0       ,15.0
ie4290a42c4f516d246ced265ec23b12f3fcbd2246,23.0       ,21.0
iedf7f8b93b2f8e6b3fe85a43adcf7181e2a20e540,13.0       ,13.0
ie41986bbf5495205c69ceb4462c723734267fff49,21.0       ,17.0
ief58d9032922a53e7ffb1c721760dd55de96b53cf,16.0       ,10.0
ie7fb7982fef17f4daf86131203595f10f952ce54c,22.0       ,15.0
ie945268e1c4adba199b136ce71f5bc8e4f3a9259f,17.0       ,13.0
ie8642b87ebf349ccec9bac1d4294b870f19d44669,6.0        ,3.0
iee8e0a9c825ebe41a16402664d4cccef511f03fb6,12.0       ,9.0
ie76a0aa822ae5de28de2dc1984ed07f8d46a616ea,7.0        ,5.0
ie22c1c281477d333c16b86fab3eaabd1ffff15651,12.0       ,7.0
ie4a09a259a273e687a617c953be577fafa6a02c62,14.0       ,13.0
ie6c29359099d4ed891708d805c43ec7d32a0bb491,12.0       ,10.0
